_id,catalogue_id,product_name,product_description,product_category,product_keyword,product_status
1,1,Garden Angel,"Small Angel Decorative Ornament, Stone",Decor,Angel,Active
2,2,African Lady,"Medium Brass Ornament, Wood Accents",Decor,Lady,Active
3,3,Gnomey McGnome Face,"Gnome, Blue hat, Two Faces",Decor,Gnome,Active
4,4,Green Sparkle Suit Gnome,"Gnome, With Suit, Green Glitter",Decor,Gnome,Active
5,5,Baby Gnome,"Gnome in Pram, Pink Hat with teddy",Decor,Gnome,Active
6,6,MEGA Drill,"Red Drill, Black Case, 14 Drill Bits, Large",Tool,Drill,Active
7,7,Rock Enamel Garden Suite,"Marbel Rock Table, 4 Iron Chairs",Furniture,Chair,Active
8,8,Sweetpea,Sweetpea flower in planter pot,Plant,Pea,Active
9,9,Turbo Mow,"Petrol Drive Mower, Matt black, 6 Wheels",Tool,Lawn Mower,Active
10,10,Justin Beiber Gnome,"Gnome, White jeans, floppy hair, Sings 'Baby'",Decor,Gnome,Active
11,11,Grizzly Pressure Washer,"Metal with purple plastic, telescopic handle",Tool,Pressure,Active
12,12,Ultimate BBQ,"Chrome Gas Burner BBQ , 6ft Grill Plate",Outdoor Living,BBQ,Active
13,13,Gareth Davis Gnome,"Lederhosen, Holding Stein of Beer",Decor,Gnome,Active
14,14,3 Tier Grow Rack,"Steel Frame, green mesh, wooden shelves",Outdoor Living,Shelve,Active
15,15,Junior Playhouse with Slide,"Wooden Playhouse, steps, pink plastic slide",Outdoor Living,Playhouse,Active
16,16,Aaron Mulholland Gnome,"Dressed as a cat, Holding two cats",Decor,Gnome,Active
17,17,Beyonce 'Single Ladies' Gnome,Gnome dressed in leotard with large ring on,Decor,Gnome,Active
18,18,Dobby Gnome,"Elf gnome, with rags, holding a sock",Decor,Gnome,Active
19,19,Extra Large Terracotta Pot,3ft Plant Pot,Plant,Pot,Active
20,20,Hanging Basket,Banana braid hanging basket 6 inches ,Plant,Basket,Active
21,21,Mega Fertiliser,Fertilser that promises to grow whole garden in 8 minutes,Outdoor Care,Compost,Active
22,22,Doctor Who Gnome,Peter Capaldi Doctor inside a Tardis,Decor,Gnome,Active
23,23,3 Piece Swivel Sofa Chair,"Mixed Brown Rattan Wood, 2 Sofas and small table",Furniture,Table,Active
24,24,Wooden Deckchair,Floral Pattern Polyester with Dark wood frame,Furniture,Chair,Active
25,25,Chocoholic Gnome,Female Gnome surrounded by and eating chocolate,Decor,Gnome,Active
26,26,Farmer Gnome,Old man gnome driving a tractor,Decor,Gnome,Active
27,27,Handy Trim,Hand Held Hedge Trimmer,Tool,Trimmer,Active
28,28,Buddha,Cornish Stone Buddha,Decor,Ornament,Active
29,29,Gangsta Gnome,"Gnome with baseball cap, gold chains and jeans not pulled up",Decor,Gnome,Active
30,30,Sunflower,Sunflower in terracotta pot,Plant,Sunflower,Active
31,31,Massive Hot Tub,A really big hot tub,Outdoor Living,Hot Tub,Active
